city,area,rooms,bathroom,parking,floor,animal,furniture,hoa,rental,property_tax,fire_insurance
Belo Horizonte,308,4,5,6,18,1,1,2000,13500,173,180
Sao Paulo,159,2,3,1,8,0,1,1276,3230,49,41
Sao Paulo,240,3,5,4,NaN,1,0,0,7500,459,113
Porto Alegre,65,3,2,0,5,0,0,450,1690,86,25
Sao Paulo,200,3,2,2,NaN,1,0,0,5000,167,76
Campinas,130,3,5,2,2,1,0,1170,3610,209,46
Rio de Janeiro,21,1,1,0,11,1,0,519,1200,0,16
Sao Paulo,68,2,1,1,5,1,0,525,1600,142,21
Porto Alegre,40,1,1,0,4,1,0,450,900,38,14
Belo Horizonte,310,4,3,6,NaN,1,0,0,3100,187,51
Campinas,103,2,1,1,4,0,0,635,1060,84,14
Rio de Janeiro,650,5,7,4,NaN,1,1,4100,15000,4241,229
Campinas,30,1,1,0,5,0,1,380,500,10,7
Belo Horizonte,155,4,5,3,5,0,0,1200,5000,593,67
Sao Paulo,107,2,2,1,NaN,1,0,400,2600,0,33
Sao Paulo,340,4,5,5,16,1,1,5200,12000,3400,153
Belo Horizonte,70,3,1,0,3,0,0,275,1200,104,16
Belo Horizonte,58,2,2,1,4,1,0,310,950,86,13
Sao Paulo,70,3,2,1,6,0,1,569,3300,159,42
Sao Paulo,240,3,3,0,NaN,1,0,300,4300,292,65
Rio de Janeiro,130,3,2,1,5,1,0,1300,2800,300,37
Sao Paulo,310,5,6,5,5,1,0,6900,10000,1834,127
Rio de Janeiro,60,1,1,1,10,1,0,731,1300,54,17
Sao Paulo,319,4,6,5,16,0,0,5000,10050,2900,128
Porto Alegre,81,2,1,0,2,1,0,350,1150,5,17
Belo Horizonte,306,3,5,0,NaN,1,0,0,8000,0,132
Sao Paulo,113,2,2,1,6,1,0,1000,3000,50,39
Sao Paulo,280,3,4,2,3,0,0,4000,6000,1059,77
Sao Paulo,270,3,3,3,16,1,0,2800,13000,959,165
Sao Paulo,78,2,1,1,7,1,0,645,2000,35,26
Sao Paulo,60,1,2,1,NaN,1,0,0,1500,30,23
Sao Paulo,30,1,1,0,NaN,1,0,0,750,59,12
Rio de Janeiro,58,2,1,1,10,1,0,594,800,77,11
Rio de Janeiro,65,1,1,0,2,1,0,350,1800,30,24
Sao Paulo,58,1,1,1,1,0,0,580,1740,75,23
Sao Paulo,22,1,1,0,25,1,0,385,2100,40,27
Sao Paulo,32,1,1,1,13,0,1,811,3200,174,41
Campinas,176,3,5,3,3,1,0,1350,5200,442,66
Belo Horizonte,350,7,5,4,NaN,1,0,0,7500,357,123
Sao Paulo,260,4,4,2,5,1,1,2570,4400,584,56
Sao Paulo,100,2,1,0,NaN,1,0,0,2300,198,35
Rio de Janeiro,65,1,1,0,10,0,1,750,3500,142,46
Rio de Janeiro,600,7,6,1,12,0,1,1300,15000,1167,194
Rio de Janeiro,300,4,3,1,NaN,1,0,0,5000,367,77
Sao Paulo,430,4,3,4,NaN,1,0,0,8500,1427,128
Sao Paulo,260,5,5,4,20,0,0,4000,8000,2620,102
Belo Horizonte,211,3,4,3,NaN,0,0,0,8400,292,138
Campinas,103,3,2,1,9,0,0,885,1800,113,23
Porto Alegre,62,2,2,0,2,1,0,400,1556,100,23
Rio de Janeiro,80,2,2,1,1,1,1,1100,3499,205,46
Sao Paulo,60,1,1,1,NaN,0,0,0,1180,0,18
Sao Paulo,27,1,1,0,5,0,0,1404,3500,1,45
Sao Paulo,486,4,6,5,8,0,0,4614,4861,3772,62
Sao Paulo,40,1,1,1,12,1,1,480,1680,102,22
Rio de Janeiro,60,2,1,0,7,1,1,806,2800,97,37
Rio de Janeiro,64,2,2,0,10,1,0,665,2200,104,29
Campinas,660,5,7,4,17,1,0,5381,10000,1100,127
Sao Paulo,62,3,2,1,5,1,0,487,2400,54,31
Porto Alegre,50,2,1,1,3,1,0,180,946,0,14
Sao Paulo,380,3,4,4,NaN,1,0,0,8000,952,121
Campinas,134,3,3,2,7,0,0,1000,2500,177,32
Sao Paulo,74,2,2,0,4,1,1,1105,3600,210,46
Belo Horizonte,68,2,2,1,5,1,1,1183,2500,207,34
Rio de Janeiro,33,1,1,0,2,1,0,470,1600,72,21
Sao Paulo,60,2,1,0,NaN,1,0,0,1100,0,17
Sao Paulo,50,1,1,1,25,0,1,707,3700,30,47
Sao Paulo,57,2,2,2,6,1,0,834,1630,189,21
Sao Paulo,39,1,1,1,4,1,0,529,995,49,13
Porto Alegre,45,1,1,1,1,0,0,30,760,0,12
Sao Paulo,221,3,2,2,7,1,0,1980,4500,200,58
Sao Paulo,140,3,2,0,8,1,1,2500,1799,375,23
Rio de Janeiro,650,5,4,2,9,1,0,5718,9000,1431,116
Sao Paulo,210,5,4,1,NaN,1,0,0,15000,1667,226
Belo Horizonte,100,4,2,3,10,1,0,1027,2600,238,35
Rio de Janeiro,220,3,3,2,4,1,1,2500,9000,367,116
Sao Paulo,42,1,1,0,1,1,0,400,1150,27,15
Rio de Janeiro,98,3,2,0,7,1,0,891,3000,185,39
Rio de Janeiro,150,3,1,2,2,1,0,3290,5200,710,68
Sao Paulo,170,3,3,4,NaN,1,0,0,3500,222,53
Sao Paulo,60,2,1,0,NaN,1,0,1,1610,0,25
Sao Paulo,120,3,4,2,NaN,1,0,187,3450,149,52
Sao Paulo,142,2,3,2,18,1,0,1400,3550,492,45
Porto Alegre,90,2,2,1,18,0,0,500,2500,84,37
Sao Paulo,140,3,3,2,3,1,0,2400,6000,500,77
Rio de Janeiro,26,1,1,0,3,1,0,325,1200,26,16
Sao Paulo,20,1,1,0,NaN,0,0,0,790,0,11
Porto Alegre,24,1,1,1,NaN,0,0,0,550,0,9
Rio de Janeiro,140,3,2,0,5,1,0,350,2900,194,38
Belo Horizonte,134,4,2,3,1,0,0,650,3000,313,40
Sao Paulo,400,5,4,2,12,1,0,2675,2000,832,26
Rio de Janeiro,18,1,1,0,3,1,0,628,650,49,9
Rio de Janeiro,62,1,1,1,8,1,0,1550,2800,182,37
Sao Paulo,192,3,3,3,16,1,1,1790,6500,630,83
Sao Paulo,80,3,2,1,6,1,0,850,1790,128,23
Porto Alegre,38,1,1,1,9,1,0,350,2900,42,43
Belo Horizonte,112,2,3,2,10,1,0,442,1400,92,19
Rio de Janeiro,15,1,1,0,1,0,0,500,1100,0,15
Sao Paulo,29,1,1,0,5,1,0,257,1043,0,14
Belo Horizonte,55,2,1,1,1,1,0,200,1050,0,14
Sao Paulo,88,3,1,2,5,1,0,1900,2500,84,32
Sao Paulo,100,4,1,0,NaN,1,0,0,1600,100,25
Belo Horizonte,92,3,2,1,1,1,0,268,1800,141,24
Rio de Janeiro,154,4,2,2,2,1,0,1850,4250,313,55
Sao Paulo,240,4,3,3,6,1,0,2850,12000,700,153
Porto Alegre,28,1,1,0,1,1,1,0,1340,4,20
Sao Paulo,50,1,1,0,NaN,0,0,0,1250,34,19
Sao Paulo,180,3,3,2,4,1,0,2100,8000,413,102
Sao Paulo,35,1,1,0,3,0,0,150,850,0,11
Rio de Janeiro,64,2,1,1,2,1,0,0,3500,0,46
Sao Paulo,60,2,1,1,8,1,0,550,1310,5,17
Sao Paulo,239,4,4,3,NaN,1,1,0,5950,500,90
Sao Paulo,130,3,2,1,10,0,1,1100,2300,109,30
Campinas,85,2,2,0,6,0,0,810,918,98,12
Rio de Janeiro,75,2,2,1,9,1,1,650,2000,310,26
Sao Paulo,90,2,2,1,NaN,1,0,0,1800,0,28
Belo Horizonte,100,3,1,1,2,1,0,300,1500,85,20
Sao Paulo,70,2,2,1,1,0,0,670,1450,0,19
Rio de Janeiro,86,3,1,0,3,1,0,800,1258,80,17
Rio de Janeiro,29,1,1,0,2,1,0,484,1500,26,20
Porto Alegre,82,2,2,1,5,1,0,450,1700,67,25
Sao Paulo,55,2,1,1,5,1,0,640,1625,0,21
Porto Alegre,47,1,1,1,1,0,1,400,2200,0,33
Sao Paulo,33,1,1,0,15,0,0,550,4000,0,51
Campinas,50,1,1,1,11,0,0,650,1800,130,23
Sao Paulo,159,4,2,0,3,1,0,2064,1900,634,25
Belo Horizonte,62,3,2,1,4,0,0,230,1100,63,15
Sao Paulo,80,2,1,2,NaN,1,0,0,1569,0,24
Sao Paulo,170,3,4,3,21,1,0,1500,5000,450,64
Porto Alegre,68,2,2,1,1,1,0,400,1800,82,27
Sao Paulo,300,4,4,3,NaN,1,1,0,5080,284,77
Porto Alegre,50,2,1,1,2,1,0,100,1460,0,22
Rio de Janeiro,80,2,2,1,10,1,0,824,2000,279,26
Porto Alegre,40,2,1,1,3,1,0,300,820,32,12
Sao Paulo,270,3,4,2,6,1,0,2890,6500,100,83
Porto Alegre,75,3,1,1,1,1,0,360,1100,47,17
Porto Alegre,60,1,2,2,15,1,0,500,2800,17,41
Sao Paulo,300,4,5,4,1,1,0,3600,7500,1334,96
Belo Horizonte,73,2,1,2,1,1,0,150,1200,62,16
Belo Horizonte,85,2,1,1,1,1,0,230,1000,61,14
Sao Paulo,100,3,3,1,NaN,1,0,0,2400,0,37
Porto Alegre,49,1,1,0,7,1,0,310,680,21,10
Sao Paulo,35,1,1,0,5,1,1,420,1800,0,23
Sao Paulo,240,3,4,1,6,0,0,1700,14850,400,189
Sao Paulo,45,1,1,0,NaN,1,0,0,900,0,14
Sao Paulo,55,2,1,1,9,1,1,565,2800,0,36
Sao Paulo,305,4,3,4,6,1,1,3428,11000,2134,140
Belo Horizonte,622,5,5,6,NaN,1,0,0,10000,924,164
Belo Horizonte,55,2,1,1,2,0,0,250,1200,67,16
Rio de Janeiro,42,1,1,0,12,1,1,600,2300,167,30
Belo Horizonte,132,3,3,2,2,1,0,0,1500,207,20
Belo Horizonte,53,2,1,0,6,1,0,626,850,76,12
Sao Paulo,998,7,10,4,NaN,1,1,0,15000,5000,226
Sao Paulo,22,1,1,0,4,0,1,350,2410,0,31
Rio de Janeiro,35,1,1,0,12,1,0,350,850,60,11
Sao Paulo,189,4,2,2,4,1,0,1970,8000,559,102
Sao Paulo,375,4,5,3,NaN,1,1,0,9000,850,136
Sao Paulo,65,2,1,1,3,1,0,315,1400,47,18
Sao Paulo,462,4,6,4,NaN,1,1,0,8000,1081,121
Sao Paulo,150,2,1,0,1,1,0,180,2285,100,29
Campinas,350,2,2,2,NaN,1,0,0,4300,150,65
Sao Paulo,260,4,5,4,15,1,1,3471,7500,0,96
Porto Alegre,61,1,1,0,NaN,1,0,80,1100,160,17
Sao Paulo,175,4,3,2,NaN,1,0,0,2890,0,44
Porto Alegre,70,2,1,0,NaN,1,1,270,1800,23,27
Rio de Janeiro,60,2,1,1,10,1,1,520,1500,80,20
Campinas,296,6,4,8,NaN,1,0,0,5200,375,79
Rio de Janeiro,96,2,2,1,10,0,1,995,2900,109,38
Sao Paulo,150,4,2,3,2,1,0,3030,7377,800,94
Sao Paulo,375,4,4,3,NaN,1,0,0,6400,75,97
Campinas,70,3,1,1,1,1,0,600,1500,17,20
Sao Paulo,127,4,3,2,4,1,0,1040,4930,472,63
Belo Horizonte,67,2,2,2,3,0,0,850,2800,0,38
Sao Paulo,50,1,2,1,1,0,1,750,3300,214,42
Rio de Janeiro,56,2,1,0,4,1,0,502,1500,0,20
Sao Paulo,55,2,1,1,19,1,1,608,2100,84,27
Sao Paulo,34,1,1,0,NaN,0,0,0,900,46,14
Campinas,68,2,1,0,4,0,0,498,930,48,12
Sao Paulo,80,2,1,0,4,0,0,400,1777,0,23
Campinas,120,3,1,1,3,0,0,650,1800,80,23
Campinas,50,1,1,1,10,0,0,718,1600,13,21
Campinas,78,2,2,1,1,1,0,432,1200,127,16
Rio de Janeiro,90,2,2,1,9,1,0,880,3800,80,49
Belo Horizonte,320,5,4,6,NaN,0,0,0,8000,584,132
Rio de Janeiro,560,5,6,4,14,1,0,2190,2633,1133,34
Rio de Janeiro,25,1,1,0,8,1,0,600,1850,25,24
Porto Alegre,37,1,1,0,3,1,0,270,650,23,10
Rio de Janeiro,95,3,1,0,16,1,0,1048,3600,283,47
Sao Paulo,130,3,3,2,7,1,0,1400,1650,414,21
Belo Horizonte,270,5,4,6,NaN,1,0,0,3910,125,53
Belo Horizonte,40,1,1,0,NaN,0,0,0,650,59,11
Belo Horizonte,65,2,2,3,7,1,0,366,1450,110,20
Sao Paulo,45,1,1,0,22,0,0,350,1015,33,13
Sao Paulo,20,1,1,0,1,0,1,0,2060,0,27
Sao Paulo,720,4,5,5,17,1,0,6471,6500,3520,83
Belo Horizonte,80,3,2,2,1,1,1,280,2500,126,34
Belo Horizonte,90,2,1,0,1,1,0,0,1000,39,14
Sao Paulo,60,1,2,0,NaN,1,0,0,1062,1,16
Belo Horizonte,45,1,1,1,4,0,1,1550,3400,198,46
Sao Paulo,100,1,2,0,NaN,0,0,4320,3100,0,40
Belo Horizonte,553,4,6,3,3,0,0,2800,10870,1459,145
Sao Paulo,250,4,3,2,NaN,1,0,0,3900,475,59
Campinas,92,3,2,3,17,1,0,643,3700,299,47
Sao Paulo,98,1,2,0,27,1,1,3177,15000,130,191
Campinas,114,3,2,1,4,1,0,967,1400,176,18
Sao Paulo,27,1,1,1,6,0,1,650,1900,59,25
Porto Alegre,225,1,2,0,NaN,1,0,0,3500,218,63
Sao Paulo,30,1,1,0,3,1,0,380,1700,0,22
Porto Alegre,135,3,3,4,5,1,0,200,4000,0,59
Campinas,150,4,3,4,NaN,0,0,750,4000,334,61
Belo Horizonte,190,4,2,0,10,1,0,1000,5580,417,75
Porto Alegre,47,1,1,1,1,0,1,400,2200,0,33
Rio de Janeiro,120,3,1,1,NaN,1,0,0,1150,67,18
Sao Paulo,90,3,2,1,4,1,0,900,2066,92,27
Sao Paulo,350,4,5,2,NaN,0,1,0,7500,0,113
Sao Paulo,160,3,4,2,NaN,1,0,0,4300,209,65
Rio de Janeiro,150,3,2,0,5,1,0,1800,2500,200,33
Rio de Janeiro,35,1,1,0,3,1,0,790,2000,86,26
Porto Alegre,25,1,1,0,NaN,0,0,0,550,0,9
Sao Paulo,240,4,4,4,26,1,0,3250,13000,1121,165
Sao Paulo,150,4,2,2,13,0,0,1700,4400,37,56
Rio de Janeiro,20,1,1,0,NaN,1,0,0,700,0,10
Campinas,85,3,2,1,4,1,0,690,1341,110,6
Sao Paulo,50,2,1,1,6,1,1,400,1900,0,15
Sao Paulo,197,3,3,2,8,1,0,4200,6000,1375,77
Sao Paulo,70,3,2,1,7,1,0,800,2800,67,36
Rio de Janeiro,220,3,2,2,8,1,0,1850,3500,265,46
Belo Horizonte,270,4,3,2,3,1,0,1200,4800,241,64
Porto Alegre,100,3,2,2,2,1,0,650,2499,92,37
Sao Paulo,195,4,6,3,12,1,0,1400,8000,750,102
Sao Paulo,160,3,3,2,NaN,1,0,0,4200,342,64
Sao Paulo,470,4,6,3,NaN,1,0,0,7200,1134,109
Campinas,60,3,2,1,5,1,0,366,1200,0,16
Sao Paulo,300,4,4,3,NaN,1,0,0,12900,584,194
Sao Paulo,330,5,6,2,11,1,0,800,8950,250,114
Porto Alegre,109,1,2,2,3,1,1,496,4300,87,63
Sao Paulo,240,4,5,4,15,1,1,3700,12000,1000,153
Sao Paulo,150,3,2,5,NaN,1,0,0,2300,260,35
Sao Paulo,200,3,2,1,2,1,0,1750,4500,375,58
Belo Horizonte,140,4,3,1,2,1,0,475,2300,167,31
Sao Paulo,106,2,2,2,1,0,1,1170,10600,334,135
Porto Alegre,92,2,2,1,2,1,1,645,2100,2610,31
Sao Paulo,35,1,1,1,7,1,0,380,2200,100,28
Sao Paulo,70,3,2,1,3,1,0,1200,2900,25,37
Sao Paulo,74,2,1,2,9,1,1,1100,6600,424,84
Sao Paulo,69,2,2,2,5,1,0,853,1900,210,25
Sao Paulo,50,1,1,0,NaN,0,0,0,830,0,13
Porto Alegre,450,5,3,6,NaN,1,0,0,4760,94,85
Rio de Janeiro,68,2,1,0,5,1,0,593,1000,400,13
Sao Paulo,71,1,1,1,11,1,0,1650,3000,238,39
Rio de Janeiro,69,2,1,1,9,1,1,500,1370,56,18
Belo Horizonte,32,1,1,1,9,1,0,197,1500,126,20
Sao Paulo,57,2,1,1,8,1,1,350,1800,50,23
Sao Paulo,28,1,1,0,1,1,1,500,2200,72,28
Sao Paulo,39,1,1,0,8,1,1,300,2000,0,26
Porto Alegre,140,3,3,0,2,1,0,750,1700,125,25
Sao Paulo,160,3,3,2,NaN,1,0,0,4500,209,68
Sao Paulo,235,3,3,1,3,1,0,2585,5150,575,66
Sao Paulo,171,3,2,1,13,1,0,1200,2200,300,28
Rio de Janeiro,139,3,2,2,1,1,0,2047,6000,540,78
Belo Horizonte,160,4,3,2,5,1,0,763,2300,230,31
Campinas,60,2,1,1,NaN,1,0,485,800,60,11
Sao Paulo,134,3,3,3,8,1,0,1680,2125,375,27
Belo Horizonte,70,2,1,1,11,1,0,897,1300,125,18
Rio de Janeiro,57,2,1,0,1,1,0,100,1530,0,20
Sao Paulo,240,3,3,4,6,1,1,2600,5500,1834,70
Sao Paulo,50,1,1,0,NaN,0,0,0,800,34,13
Rio de Janeiro,120,3,2,1,8,1,0,1470,3550,190,46
Porto Alegre,200,3,3,4,2,1,0,2900,1200,260,18
Sao Paulo,572,6,6,4,NaN,1,1,0,7800,2359,118
Sao Paulo,145,2,2,1,1,1,1,1463,4000,0,51
Belo Horizonte,70,2,1,2,1,0,0,80,1200,97,16
Rio de Janeiro,85,2,2,1,2,1,1,3700,8000,659,104
Belo Horizonte,140,3,2,0,2,0,0,0,3000,202,40
Sao Paulo,260,4,5,5,6,1,0,3000,12500,1667,159
Sao Paulo,211,4,4,4,2,1,0,1800,3390,775,43
Campinas,58,2,1,1,2,1,0,280,650,0,9
Rio de Janeiro,110,1,1,2,3,1,0,1936,4500,341,58
Sao Paulo,72,2,2,0,10,1,0,820,1500,70,20
Sao Paulo,700,4,7,8,NaN,1,0,0,45000,8750,677
Sao Paulo,68,1,2,1,5,1,0,1040,6000,229,77
Rio de Janeiro,100,3,3,2,8,1,0,1167,2700,95,35
Sao Paulo,240,3,2,0,7,1,1,1717,6500,444,83
Rio de Janeiro,104,3,1,0,6,1,0,784,3500,195,46
Campinas,70,1,1,1,2,1,1,290,1600,70,21
Sao Paulo,67,1,1,1,14,1,1,920,2600,72,33
Belo Horizonte,160,4,2,5,NaN,1,1,0,3780,167,62
Belo Horizonte,64,3,1,0,3,0,0,215,1400,27,19
Sao Paulo,140,3,3,5,8,0,1,2000,8000,710,102
Campinas,38,1,1,0,3,0,0,376,750,15,10
Sao Paulo,34,1,1,0,12,1,0,372,2700,57,35
Sao Paulo,54,2,1,0,7,1,0,535,2001,0,26
Sao Paulo,54,1,1,1,1,0,1,1050,7200,250,92
Sao Paulo,200,3,2,4,NaN,1,0,0,3500,500,53
Sao Paulo,107,3,2,2,1,1,0,1122,2600,350,33
Rio de Janeiro,70,2,2,0,11,1,0,879,1550,77,20
Sao Paulo,20,1,1,0,5,1,1,602,1800,130,23
Sao Paulo,86,2,1,1,5,1,0,1002,2340,0,8
Rio de Janeiro,30,1,1,1,NaN,1,0,0,1480,25,20
Porto Alegre,108,3,2,1,3,1,1,826,2000,89,30
Sao Paulo,250,4,3,4,NaN,1,0,0,2700,154,41
Sao Paulo,80,2,1,0,4,1,0,740,2200,92,28
Rio de Janeiro,73,2,1,1,8,1,0,1022,1100,0,15
Porto Alegre,45,1,1,1,3,1,0,250,1205,72,18
Sao Paulo,45,2,2,0,NaN,0,0,0,1650,84,25
Sao Paulo,255,4,4,0,15,1,1,4000,2500,1484,32
Belo Horizonte,217,4,3,4,12,1,0,2644,6000,1177,80
Sao Paulo,70,1,1,0,2,1,0,472,1870,0,24
Sao Paulo,25,1,1,0,1,0,0,0,885,0,12
Porto Alegre,110,3,3,0,1,1,0,400,3250,75,48
Sao Paulo,80,2,2,1,12,1,0,1200,10000,109,127
Sao Paulo,260,3,5,0,NaN,1,0,0,9000,634,136
Sao Paulo,50,2,2,1,10,1,0,624,2700,82,35
Campinas,60,2,1,1,1,0,0,430,815,20,6
Sao Paulo,400,3,6,6,NaN,1,1,0,6500,375,98
Sao Paulo,113,2,1,1,4,1,0,1000,3000,50,39
Sao Paulo,400,4,4,6,8,1,0,3900,8000,1750,102
Porto Alegre,64,2,2,2,6,1,0,450,2250,50,33
Sao Paulo,82,2,1,2,10,1,1,2020,3100,333,40
Sao Paulo,65,2,1,3,9,1,0,800,2000,217,26
Porto Alegre,128,4,3,2,3,1,0,1160,4900,409,88
Sao Paulo,38,1,1,0,1,0,0,60,950,0,13
Campinas,175,3,2,0,NaN,0,0,0,2000,0,31
Sao Paulo,107,3,3,2,3,1,0,1600,4500,417,58
Rio de Janeiro,257,4,3,2,3,1,1,3250,3800,709,49
Sao Paulo,35,1,1,1,2,0,1,550,3250,30,42
Sao Paulo,463,4,7,6,NaN,1,0,0,12000,1264,181
Rio de Janeiro,40,2,1,0,7,1,0,335,920,55,12
Belo Horizonte,297,4,2,3,6,1,0,2000,1870,209,15
Sao Paulo,137,3,3,1,9,1,1,1247,5500,303,70
Rio de Janeiro,35,1,1,0,10,0,0,498,1200,80,16
Rio de Janeiro,128,3,3,1,8,1,1,950,3500,242,46
Belo Horizonte,59,2,1,1,2,1,0,190,1250,70,17
Rio de Janeiro,400,4,4,2,NaN,1,0,634,11480,1357,175
Rio de Janeiro,100,3,2,1,5,0,0,980,4500,125,58
Rio de Janeiro,50,1,1,0,10,1,1,680,2200,85,29
Porto Alegre,80,2,2,1,5,1,1,740,1900,120,28
Belo Horizonte,68,2,2,2,4,1,0,230,1650,154,22
Sao Paulo,32,1,1,1,22,1,1,2000,2000,416,26
Rio de Janeiro,161,3,3,3,14,1,0,1300,4500,640,58
Sao Paulo,85,2,2,0,NaN,1,0,0,1700,0,26
Sao Paulo,100,2,2,0,NaN,1,0,0,2500,274,38
Sao Paulo,136,3,4,3,7,1,0,1400,5000,117,64
Sao Paulo,362,4,5,2,NaN,1,0,0,7000,834,106
Sao Paulo,276,3,3,4,15,1,1,3600,6500,1650,83
Rio de Janeiro,22,1,1,0,2,0,0,50,1322,59,16
Porto Alegre,60,2,1,0,1,1,0,114,980,42,15
Sao Paulo,500,4,7,8,NaN,1,0,0,9250,1167,140
Porto Alegre,65,1,1,1,3,1,0,426,980,38,15
Sao Paulo,56,2,1,1,11,1,0,350,2600,0,33
Sao Paulo,35,1,1,1,4,0,1,300,2840,10,36
Porto Alegre,98,3,2,2,4,0,0,700,2550,100,38
Sao Paulo,45,1,1,0,1,0,0,0,950,30,15
Porto Alegre,48,2,1,1,2,1,0,300,800,35,12
Campinas,48,1,1,1,4,1,1,490,1500,42,20
Sao Paulo,114,2,3,1,1,1,1,902,7010,167,89
Belo Horizonte,197,4,2,3,3,1,0,850,4250,400,57
Belo Horizonte,200,4,1,2,4,1,0,345,2500,209,34
Belo Horizonte,110,3,2,0,NaN,1,0,0,2500,0,41
Sao Paulo,300,2,4,2,NaN,1,0,0,6000,419,91
Belo Horizonte,120,3,1,1,6,0,0,1140,1900,140,26
Porto Alegre,40,1,1,0,3,1,1,370,1084,46,16
Sao Paulo,92,2,1,1,7,0,1,690,3950,0,51
Sao Paulo,140,3,2,2,3,1,0,1640,5500,583,70
Sao Paulo,244,4,3,4,2,1,0,3460,7000,1000,89
Porto Alegre,59,2,1,0,3,1,0,326,1000,42,15
Rio de Janeiro,35,1,1,0,3,1,0,0,791,30,11
Sao Paulo,120,3,2,3,16,1,0,1400,2000,292,26
Sao Paulo,248,4,5,4,1,0,0,2500,9100,250,116
Sao Paulo,63,2,2,1,17,1,0,783,1690,27,22
Sao Paulo,45,1,1,1,8,1,0,694,1800,172,23
Sao Paulo,129,2,3,2,16,1,1,1100,2376,334,38
Sao Paulo,300,3,3,8,NaN,1,0,0,4675,400,71
Sao Paulo,29,1,1,1,4,0,1,650,2200,118,28
Belo Horizonte,100,3,2,1,2,1,0,745,1300,119,18
Sao Paulo,153,4,3,3,3,1,0,2500,5500,700,70
Campinas,87,2,1,1,4,1,0,780,1200,52,16
Sao Paulo,75,1,1,2,8,1,1,976,7000,323,89
Rio de Janeiro,300,4,4,2,3,1,0,4100,12750,1334,165
Porto Alegre,48,1,1,0,4,1,0,340,700,300,11
Sao Paulo,56,2,2,1,4,1,0,500,2000,0,26
Campinas,71,2,1,1,7,1,0,670,977,114,13
Sao Paulo,84,4,1,3,5,0,0,1914,6000,804,77
Sao Paulo,208,3,4,3,NaN,0,0,0,3490,476,53
Sao Paulo,100,1,2,1,13,0,0,1520,6000,348,77
Sao Paulo,84,3,2,2,7,1,1,540,2200,71,28
Sao Paulo,145,4,3,2,1,1,0,1644,4800,500,61
Sao Paulo,300,4,3,2,NaN,1,1,0,15000,1040,226
Sao Paulo,65,2,2,1,12,0,1,980,6000,250,77
Sao Paulo,27,1,1,0,NaN,0,0,0,836,0,13
Rio de Janeiro,102,3,2,1,2,1,0,1900,1350,140,18
Campinas,60,2,1,1,1,0,1,385,2848,64,37
Porto Alegre,60,1,1,0,1,1,0,230,1286,70,19
Rio de Janeiro,50,1,1,0,10,1,0,520,1620,0,21
Sao Paulo,97,3,1,1,10,1,0,762,2300,25,30
Sao Paulo,52,1,2,1,19,1,0,1100,5000,210,64
Sao Paulo,373,4,4,3,12,1,0,4500,12750,1417,162
Sao Paulo,157,4,3,2,NaN,1,0,0,6608,492,100
Campinas,68,3,1,1,2,1,0,555,1100,50,14
Sao Paulo,172,4,4,3,15,1,1,1650,8800,890,112
Sao Paulo,64,2,2,2,25,0,0,865,3500,0,45
Rio de Janeiro,41,1,1,0,9,1,0,800,1700,85,22
Rio de Janeiro,106,2,2,1,2,1,0,900,2850,296,37
Belo Horizonte,150,4,2,3,1,1,1,900,3300,340,44
Belo Horizonte,135,4,2,2,4,1,0,450,3500,117,47
Sao Paulo,350,4,6,6,NaN,1,1,0,9600,1367,145
Belo Horizonte,360,3,1,3,NaN,1,0,0,1500,142,25
Sao Paulo,700,4,7,8,NaN,1,1,0,15000,2250,226
Rio de Janeiro,100,2,2,1,6,1,1,2400,8900,380,115
Belo Horizonte,50,1,1,2,4,1,0,300,1200,0,16
Sao Paulo,55,3,1,1,3,1,0,458,1300,0,17
Sao Paulo,215,4,4,2,10,0,0,1950,6000,834,77
Sao Paulo,287,3,2,5,NaN,1,0,0,15000,0,226
Sao Paulo,58,2,1,1,3,1,1,383,1500,43,20
Sao Paulo,90,3,2,2,10,1,0,850,1600,300,21
Sao Paulo,200,3,3,3,NaN,1,0,0,3315,241,50
Sao Paulo,65,3,2,1,8,1,0,650,2200,5,28
Sao Paulo,820,4,6,6,NaN,1,0,2500,10000,2500,151
Sao Paulo,102,2,1,0,3,1,0,538,2000,109,26
Rio de Janeiro,108,3,2,2,3,1,0,2000,4500,442,58
Sao Paulo,86,3,2,2,6,1,1,800,3100,203,40
Campinas,210,6,3,0,NaN,1,0,0,4200,0,64
Belo Horizonte,140,4,2,2,4,1,0,995,4200,462,56
Sao Paulo,220,4,4,3,2,1,0,2500,4500,1042,58
Campinas,66,2,1,1,NaN,1,0,265,1100,34,14
Sao Paulo,389,4,5,6,4,1,0,4000,8500,1834,108
Sao Paulo,80,3,3,1,11,0,0,934,1700,25,22
Sao Paulo,78,2,2,1,1,1,0,792,2200,148,28
Sao Paulo,178,4,2,5,NaN,1,0,0,6000,459,91
Sao Paulo,47,2,1,1,4,1,0,565,1140,64,15
Belo Horizonte,160,4,1,1,NaN,1,0,0,2150,0,36
Rio de Janeiro,25,1,1,0,1,1,0,50,700,0,10
Sao Paulo,80,2,2,2,NaN,1,0,50,1700,177,26
Sao Paulo,144,3,3,2,NaN,1,1,0,5000,109,76
Campinas,400,5,7,4,5,1,0,3200,7900,888,101
Belo Horizonte,100,3,2,1,NaN,1,0,0,14500,423,238
Sao Paulo,48,2,1,0,2,1,0,90,1150,90,15
